pair,peak_lag_samples,peak_value,lag_min_samples,lag_max_samples
M01-M02,9.46875,0.031249703885857648,-178.0,178.0
M01-M03,-34.0,0.031242835684791834,-178.0,178.0
M01-M04,5.75,0.03124956442597771,-178.0,178.0
M01-M05,-29.90625,0.031241452908970724,-178.0,178.0
M01-M06,-7.34375,0.03124884458000643,-178.0,178.0
M01-M07,1.34375,0.03124915413016617,-178.0,178.0
M01-M08,-39.4375,0.03124315614738322,-178.0,178.0
M02-M03,-43.46875,0.031243554806554392,-178.0,178.0
M02-M04,-3.71875,0.03124988236281397,-178.0,178.0
M02-M05,-39.375,0.031239847778108218,-178.0,178.0
M02-M06,-16.8125,0.031248870945309332,-178.0,178.0
M02-M07,-8.125,0.03124899234815445,-178.0,178.0
M02-M08,-48.90625,0.031244678035382386,-178.0,178.0
M03-M04,39.75,0.031241647029940693,-178.0,178.0
M03-M05,4.125,0.031248079630340778,-178.0,178.0
M03-M06,26.6875,0.031237373753826743,-178.0,178.0
M03-M07,35.375,0.031237388486895102,-178.0,178.0
M03-M08,-5.4375,0.031249655893825137,-178.0,178.0
M04-M05,-35.65625,0.0312415910636151,-178.0,178.0
M04-M06,-13.09375,0.031249543256794538,-178.0,178.0
M04-M07,-4.40625,0.03124931452817057,-178.0,178.0
M04-M08,-45.1875,0.031242981089563714,-178.0,178.0
M05-M06,22.5625,0.031245439780108363,-178.0,178.0
M05-M07,31.25,0.031245571214152976,-178.0,178.0
M05-M08,-9.5625,0.031247296966286524,-178.0,178.0
M06-M07,8.6875,0.03124996728853818,-178.0,178.0
M06-M08,-32.09375,0.03123833361219506,-178.0,178.0
M07-M08,-40.78125,0.03123848866051309,-178.0,178.0
